Date,Open,High,Low,Close,Volume,Adj Close
2015-07-24,3600.00,3600.00,3600.00,3600.00,000,3600.00
2015-07-23,3634.64,3634.64,3634.64,3634.64,000,3634.64
2015-07-22,3635.58,3635.58,3635.58,3635.58,000,3635.58
2015-07-20,3686.58,3686.58,3686.58,3686.58,000,3686.58
2015-07-17,3670.34,3670.34,3670.34,3670.34,000,3670.34
2015-07-15,3623.87,3623.87,3623.87,3623.87,000,3623.87
2015-07-10,3528.81,3528.81,3528.81,3528.81,000,3528.81
2015-07-07,3294.19,3294.19,3294.19,3294.19,000,3294.19
2015-07-06,3365.20,3365.20,3365.20,3365.20,000,3365.20
2015-07-03,3441.76,3441.76,3441.76,3441.76,000,3441.76
2015-07-01,3496.28,3496.28,3496.28,3496.28,000,3496.28
2015-06-30,3424.30,3424.30,3424.30,3424.30,000,3424.30
2015-06-29,3468.90,3468.90,3468.90,3468.90,000,3468.90
2015-06-04,3556.38,3556.38,3556.38,3556.38,000,3556.38
2015-06-03,3583.82,3583.82,3583.82,3583.82,000,3583.82
2015-06-02,3561.89,3561.89,3561.89,3561.89,000,3561.89
2015-05-04,3632.94,3632.94,3632.94,3632.94,000,3632.94
2015-05-01,3615.59,3615.59,3615.59,3615.59,000,3615.59
2015-04-30,3615.59,3615.59,3615.59,3615.59,000,3615.59
2015-04-29,3617.11,3617.11,3617.11,3617.11,000,3617.11
2015-04-28,3715.42,3715.42,3715.42,3715.42,000,3715.42
2015-04-27,3771.45,3771.45,3771.45,3771.45,000,3771.45
2015-04-24,3713.96,3713.96,3713.96,3713.96,000,3713.96
2015-04-23,3697.88,3697.88,3697.88,3697.88,000,3697.88
2015-04-22,3724.49,3724.49,3724.49,3724.49,000,3724.49
2015-04-21,3719.38,3719.38,3719.38,3719.38,000,3719.38
2015-04-20,3718.04,3718.04,3718.04,3718.04,000,3718.04
2015-04-17,3674.05,3674.05,3674.05,3674.05,000,3674.05
2015-04-16,3751.72,3751.72,3751.72,3751.72,000,3751.72
2015-04-15,3803.55,3803.55,3803.55,3803.55,000,3803.55
2015-04-14,3784.53,3784.53,3784.53,3784.53,000,3784.53
2015-04-13,3828.78,3828.78,3828.78,3828.78,000,3828.78
2015-04-10,3816.76,3816.76,3816.76,3816.76,000,3816.76
2015-04-09,3781.79,3781.79,3781.79,3781.79,000,3781.79
2015-04-08,3742.63,3742.63,3742.63,3742.63,000,3742.63
2015-04-07,3768.72,3768.72,3768.72,3768.72,000,3768.72
2015-04-02,3715.27,3715.27,3715.27,3715.27,000,3715.27
2015-04-01,3714.89,3714.89,3714.89,3714.89,000,3714.89
2015-03-31,3697.38,3697.38,3697.38,3697.38,000,3697.38
2015-03-30,3727.80,3727.80,3727.80,3727.80,000,3727.80
2015-03-27,3679.03,3679.03,3679.03,3679.03,000,3679.03
2015-03-26,3669.79,3669.79,3669.79,3669.79,000,3669.79
2015-03-25,3684.04,3684.04,3684.04,3684.04,000,3684.04
2015-03-24,3731.35,3731.35,3731.35,3731.35,000,3731.35
2015-03-23,3699.04,3699.04,3699.04,3699.04,000,3699.04
2015-03-20,3726.07,3726.07,3726.07,3726.07,000,3726.07
2015-03-19,3670.73,3670.73,3670.73,3670.73,000,3670.73
2015-03-18,3668.52,3668.52,3668.52,3668.52,000,3668.52
2015-03-17,3672.16,3672.16,3672.16,3672.16,000,3672.16
2015-03-16,3706.75,3706.75,3706.75,3706.75,000,3706.75
2015-03-13,3656.21,3656.21,3656.21,3656.21,000,3656.21
2015-03-12,3641.32,3641.32,3641.32,3641.32,000,3641.32
2015-03-11,3649.54,3649.54,3649.54,3649.54,000,3649.54
2015-03-10,3567.25,3567.25,3567.25,3567.25,000,3567.25
2015-03-09,3610.28,3610.28,3610.28,3610.28,000,3610.28
2015-03-06,3617.62,3617.62,3617.62,3617.62,000,3617.62
2015-03-05,3618.21,3618.21,3618.21,3618.21,000,3618.21
2015-03-04,3583.44,3583.44,3583.44,3583.44,000,3583.44
2015-03-03,3549.11,3549.11,3549.11,3549.11,000,3549.11
2015-03-02,3591.09,3591.09,3591.09,3591.09,000,3591.09
2015-02-27,3599.00,3599.00,3599.00,3599.00,000,3599.00
2015-02-26,3574.94,3574.94,3574.94,3574.94,000,3574.94
2015-02-25,3541.78,3541.78,3541.78,3541.78,000,3541.78
2015-02-24,3547.10,3547.10,3547.10,3547.10,000,3547.10
2015-02-23,3519.58,3519.58,3519.58,3519.58,000,3519.58
2015-02-20,3490.53,3490.53,3490.53,3490.53,000,3490.53
2015-02-19,3488.08,3488.08,3488.08,3488.08,000,3488.08
2015-02-18,3465.80,3465.80,3465.80,3465.80,000,3465.80
2015-02-17,3438.44,3438.44,3438.44,3438.44,000,3438.44
2015-02-16,3433.30,3433.30,3433.30,3433.30,000,3433.30
2015-02-13,3447.59,3447.59,3447.59,3447.59,000,3447.59
2015-02-12,3417.61,3417.61,3417.61,3417.61,000,3417.61
2015-02-11,3374.14,3374.14,3374.14,3374.14,000,3374.14
2015-02-10,3383.13,3383.13,3383.13,3383.13,000,3383.13
2015-02-09,3347.75,3347.75,3347.75,3347.75,000,3347.75
2015-02-06,3398.16,3398.16,3398.16,3398.16,000,3398.16
2015-02-05,3408.96,3408.96,3408.96,3408.96,000,3408.96
2015-02-04,3415.53,3415.53,3415.53,3415.53,000,3415.53
2015-02-03,3414.18,3414.18,3414.18,3414.18,000,3414.18
2015-02-02,3370.11,3370.11,3370.11,3370.11,000,3370.11
2015-01-30,3351.44,3351.44,3351.44,3351.44,000,3351.44
2015-01-29,3371.83,3371.83,3371.83,3371.83,000,3371.83
2015-01-28,3358.96,3358.96,3358.96,3358.96,000,3358.96
2015-01-27,3372.58,3372.58,3372.58,3372.58,000,3372.58
2015-01-26,3414.28,3414.28,3414.28,3414.28,000,3414.28
2015-01-23,3382.55,3382.55,3382.55,3382.55,000,3382.55
2015-01-22,3322.65,3322.65,3322.65,3322.65,000,3322.65
2015-01-21,3269.73,3269.73,3269.73,3269.73,000,3269.73
2015-01-20,3244.92,3244.92,3244.92,3244.92,000,3244.92
2015-01-19,3220.90,3220.90,3220.90,3220.90,000,3220.90
2015-01-16,3202.24,3202.24,3202.24,3202.24,000,3202.24
2015-01-15,3157.36,3157.36,3157.36,3157.36,000,3157.36
2015-01-14,3089.67,3089.67,3089.67,3089.67,000,3089.67
2015-01-13,3133.86,3133.86,3133.86,3133.86,000,3133.86
2015-01-12,3084.18,3084.18,3084.18,3084.18,000,3084.18
2015-01-09,3042.90,3042.90,3042.90,3042.90,000,3042.90
2015-01-08,3135.08,3135.08,3135.08,3135.08,000,3135.08
2015-01-07,3026.79,3026.79,3026.79,3026.79,000,3026.79
2015-01-06,3007.91,3007.91,3007.91,3007.91,000,3007.91
2015-01-05,3023.14,3023.14,3023.14,3023.14,000,3023.14
2015-01-02,3139.44,3139.44,3139.44,3139.44,000,3139.44
2014-12-31,3146.43,3146.43,3146.43,3146.43,000,3146.43
2014-12-30,3135.95,3135.95,3135.95,3135.95,000,3135.95
2014-12-29,3185.17,3185.17,3185.17,3185.17,000,3185.17
2014-12-24,3184.66,3184.66,3184.66,3184.66,000,3184.66
2014-12-23,3192.47,3192.47,3192.47,3192.47,000,3192.47
2014-12-22,3154.91,3154.91,3154.91,3154.91,000,3154.91
2014-12-19,3141.28,3141.28,3141.28,3141.28,000,3141.28
2014-12-18,3153.77,3153.77,3153.77,3153.77,000,3153.77
2014-12-17,3051.99,3051.99,3051.99,3051.99,000,3051.99
2014-12-16,3049.99,3049.99,3049.99,3049.99,000,3049.99
2014-12-15,2982.90,2982.90,2982.90,2982.90,000,2982.90
2014-12-12,3067.32,3067.32,3067.32,3067.32,000,3067.32
2014-12-11,3159.11,3159.11,3159.11,3159.11,000,3159.11
2014-12-10,3150.95,3150.95,3150.95,3150.95,000,3150.95
2014-12-09,3162.77,3162.77,3162.77,3162.77,000,3162.77
2014-12-08,3247.99,3247.99,3247.99,3247.99,000,3247.99
2014-12-05,3277.38,3277.38,3277.38,3277.38,000,3277.38
2014-12-04,3191.25,3191.25,3191.25,3191.25,000,3191.25
2014-12-03,3247.72,3247.72,3247.72,3247.72,000,3247.72
2014-12-02,3238.35,3238.35,3238.35,3238.35,000,3238.35
2014-12-01,3232.91,3232.91,3232.91,3232.91,000,3232.91
2014-11-28,3250.93,3250.93,3250.93,3250.93,000,3250.93
2014-11-27,3244.92,3244.92,3244.92,3244.92,000,3244.92
2014-11-26,3226.08,3226.08,3226.08,3226.08,000,3226.08
2014-11-25,3226.15,3226.15,3226.15,3226.15,000,3226.15
2014-11-24,3211.70,3211.70,3211.70,3211.70,000,3211.70
2014-11-21,3194.22,3194.22,3194.22,3194.22,000,3194.22
2014-11-20,3102.21,3102.21,3102.21,3102.21,000,3102.21
2014-11-19,3123.12,3123.12,3123.12,3123.12,000,3123.12
2014-11-18,3120.42,3120.42,3120.42,3120.42,000,3120.42
2014-11-17,3084.79,3084.79,3084.79,3084.79,000,3084.79
2014-11-14,3059.99,3059.99,3059.99,3059.99,000,3059.99
2014-11-13,3056.80,3056.80,3056.80,3056.80,000,3056.80
2014-11-12,3047.30,3047.30,3047.30,3047.30,000,3047.30
2014-11-11,3104.59,3104.59,3104.59,3104.59,000,3104.59
2014-11-10,3094.60,3094.60,3094.60,3094.60,000,3094.60
2014-11-07,3064.92,3064.92,3064.92,3064.92,000,3064.92
2014-11-06,3102.07,3102.07,3102.07,3102.07,000,3102.07
2014-11-05,3091.54,3091.54,3091.54,3091.54,000,3091.54
2014-11-04,3034.24,3034.24,3034.24,3034.24,000,3034.24
2014-11-03,3082.32,3082.32,3082.32,3082.32,000,3082.32
2014-10-31,3113.32,3113.32,3113.32,3113.32,000,3113.32
2014-10-30,3035.90,3035.90,3035.90,3035.90,000,3035.90
2014-10-29,3022.42,3022.42,3022.42,3022.42,000,3022.42
2014-10-28,3036.15,3036.15,3036.15,3036.15,000,3036.15
2014-10-27,2998.84,2998.84,2998.84,2998.84,000,2998.84
2014-10-24,3030.37,3030.37,3030.37,3030.37,000,3030.37
2014-10-23,3044.30,3044.30,3044.30,3044.30,000,3044.30
2014-10-22,3008.53,3008.53,3008.53,3008.53,000,3008.53
2014-10-21,2991.46,2991.46,2991.46,2991.46,000,2991.46
2014-10-20,2927.30,2927.30,2927.30,2927.30,000,2927.30
2014-10-17,2962.24,2962.24,2962.24,2962.24,000,2962.24
2014-10-16,2874.65,2874.65,2874.65,2874.65,000,2874.65
2014-10-15,2892.55,2892.55,2892.55,2892.55,000,2892.55
2014-10-14,3000.99,3000.99,3000.99,3000.99,000,3000.99
2014-10-13,2998.32,2998.32,2998.32,2998.32,000,2998.32
2014-10-10,2991.50,2991.50,2991.50,2991.50,000,2991.50
2014-10-09,3042.45,3042.45,3042.45,3042.45,000,3042.45
2014-10-08,3053.31,3053.31,3053.31,3053.31,000,3053.31
2014-10-07,3082.10,3082.10,3082.10,3082.10,000,3082.10
2014-10-06,3138.67,3138.67,3138.67,3138.67,000,3138.67
2014-10-03,3133.37,3133.37,3133.37,3133.37,000,3133.37
2014-10-02,3106.42,3106.42,3106.42,3106.42,000,3106.42
2014-10-01,3195.08,3195.08,3195.08,3195.08,000,3195.08
2014-09-30,3225.93,3225.93,3225.93,3225.93,000,3225.93
2014-09-29,3186.95,3186.95,3186.95,3186.95,000,3186.95
2014-09-26,3219.58,3219.58,3219.58,3219.58,000,3219.58
2014-09-25,3202.31,3202.31,3202.31,3202.31,000,3202.31
2014-09-24,3244.01,3244.01,3244.01,3244.01,000,3244.01
2014-09-23,3205.93,3205.93,3205.93,3205.93,000,3205.93
2014-09-22,3257.48,3257.48,3257.48,3257.48,000,3257.48
2014-09-19,3273.25,3273.25,3273.25,3273.25,000,3273.25
2014-09-18,3271.37,3271.37,3271.37,3271.37,000,3271.37
2014-09-17,3237.44,3237.44,3237.44,3237.44,000,3237.44
2014-09-16,3221.73,3221.73,3221.73,3221.73,000,3221.73
2014-09-15,3231.70,3231.70,3231.70,3231.70,000,3231.70
2014-09-12,3235.07,3235.07,3235.07,3235.07,000,3235.07
2014-09-11,3237.76,3237.76,3237.76,3237.76,000,3237.76
2014-09-10,3244.16,3244.16,3244.16,3244.16,000,3244.16
2014-09-09,3245.43,3245.43,3245.43,3245.43,000,3245.43
2014-09-08,3267.54,3267.54,3267.54,3267.54,000,3267.54
2014-09-05,3275.25,3275.25,3275.25,3275.25,000,3275.25
2014-09-04,3277.25,3277.25,3277.25,3277.25,000,3277.25
2014-09-03,3218.84,3218.84,3218.84,3218.84,000,3218.84
2014-09-02,3180.29,3180.29,3180.29,3180.29,000,3180.29
2014-09-01,3175.05,3175.05,3175.05,3175.05,000,3175.05
